Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
TM35_000024000	TM35_000024000-t36_1	T. theileri isolate Edinburgh	NBCO01000002:816,941..818,062(-)	hypothetical protein	protein coding	Tth.2.4000	
TM35_000041030	TM35_000041030-t36_1	T. theileri isolate Edinburgh	NBCO01000004:7,019..8,500(+)	hypothetical protein	protein coding	Tth.4.1030	
TM35_000041050	TM35_000041050-t36_1	T. theileri isolate Edinburgh	NBCO01000004:24,611..25,879(+)	hypothetical protein	protein coding	Tth.4.1050	
TM35_000041070	TM35_000041070-t36_1	T. theileri isolate Edinburgh	NBCO01000004:30,769..32,163(+)	hypothetical protein	protein coding	Tth.4.1070	
TM35_000041100	TM35_000041100-t36_1	T. theileri isolate Edinburgh	NBCO01000004:42,668..44,176(+)	hypothetical protein	protein coding	Tth.4.1100	
TM35_000041180	TM35_000041180-t36_1	T. theileri isolate Edinburgh	NBCO01000004:57,386..58,846(+)	hypothetical protein	protein coding	Tth.4.1180	
TM35_000041210	TM35_000041210-t36_1	T. theileri isolate Edinburgh	NBCO01000004:61,842..63,164(+)	hypothetical protein	protein coding	Tth.4.1210	
TM35_000041260	TM35_000041260-t36_1	T. theileri isolate Edinburgh	NBCO01000004:73,300..74,637(+)	hypothetical protein	protein coding	Tth.4.1260	
TM35_000041280	TM35_000041280-t36_1	T. theileri isolate Edinburgh	NBCO01000004:79,328..80,857(+)	hypothetical protein	protein coding	Tth.4.1280	
TM35_000041290	TM35_000041290-t36_1	T. theileri isolate Edinburgh	NBCO01000004:85,508..86,917(+)	hypothetical protein	protein coding	Tth.4.1290	
TM35_000041310	TM35_000041310-t36_1	T. theileri isolate Edinburgh	NBCO01000004:91,882..93,411(+)	hypothetical protein	protein coding	Tth.4.1310	
TM35_000041330	TM35_000041330-t36_1	T. theileri isolate Edinburgh	NBCO01000004:98,165..99,535(+)	hypothetical protein	protein coding	Tth.4.1330	
TM35_000041340	TM35_000041340-t36_1	T. theileri isolate Edinburgh	NBCO01000004:103,199..104,509(+)	hypothetical protein	protein coding	Tth.4.1340	
TM35_000044240	TM35_000044240-t36_1	T. theileri isolate Edinburgh	NBCO01000004:729,930..731,267(-)	hypothetical protein	protein coding	Tth.4.4240	
TM35_000051030	TM35_000051030-t36_1	T. theileri isolate Edinburgh	NBCO01000005:20,178..21,524(-)	hypothetical protein	protein coding	Tth.5.1030	
TM35_000053730	TM35_000053730-t36_1	T. theileri isolate Edinburgh	NBCO01000005:745,310..746,596(-)	transglutaminase	protein coding	Tth.5.3730	
TM35_000054690	TM35_000054690-t36_1	T. theileri isolate Edinburgh	NBCO01000005:977,005..978,294(+)	hypothetical protein	protein coding	Tth.5.4690	
TM35_000054810	TM35_000054810-t36_1	T. theileri isolate Edinburgh	NBCO01000005:1,009,161..1,010,390(-)	hypothetical protein	protein coding	Tth.5.4810	
TM35_000061000	TM35_000061000-t36_1	T. theileri isolate Edinburgh	NBCO01000006:1,961..2,422(+)	hypothetical protein	protein coding	Tth.6.1000	
TM35_000061010	TM35_000061010-t36_1	T. theileri isolate Edinburgh	NBCO01000006:6,421..7,584(+)	hypothetical protein	protein coding	Tth.6.1010	
TM35_000061020	TM35_000061020-t36_1	T. theileri isolate Edinburgh	NBCO01000006:10,228..10,971(+)	hypothetical protein	protein coding	Tth.6.1020	
TM35_000061030	TM35_000061030-t36_1	T. theileri isolate Edinburgh	NBCO01000006:15,600..16,427(+)	hypothetical protein	protein coding	Tth.6.1030	
TM35_000061040	TM35_000061040-t36_1	T. theileri isolate Edinburgh	NBCO01000006:19,874..21,190(+)	hypothetical protein	protein coding	Tth.6.1040	
TM35_000061050	TM35_000061050-t36_1	T. theileri isolate Edinburgh	NBCO01000006:23,981..25,417(+)	hypothetical protein	protein coding	Tth.6.1050	
TM35_000061060	TM35_000061060-t36_1	T. theileri isolate Edinburgh	NBCO01000006:25,939..27,369(+)	hypothetical protein	protein coding	Tth.6.1060	
TM35_000061070	TM35_000061070-t36_1	T. theileri isolate Edinburgh	NBCO01000006:29,446..30,954(+)	hypothetical protein	protein coding	Tth.6.1070	
TM35_000062570	TM35_000062570-t36_1	T. theileri isolate Edinburgh	NBCO01000006:416,864..418,237(-)	hypothetical protein	protein coding	Tth.6.2570	
TM35_000062660	TM35_000062660-t36_1	T. theileri isolate Edinburgh	NBCO01000006:431,384..432,760(-)	hypothetical protein	protein coding	Tth.6.2660	
TM35_000062800	TM35_000062800-t36_1	T. theileri isolate Edinburgh	NBCO01000006:460,795..462,111(-)	hypothetical protein	protein coding	Tth.6.2800	
