Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSBTAP00000016046	CON__ENSEMBL:ENSBTAP00000016046	1	1	1		1	1	1	1	1.7	1.7	1.7	77.456	706	706	1	-2	9940100	1	+		+	0	2972	True	3030	3712	7034	7034	0;1	655;658
CON__ENSEMBL:ENSBTAP00000034412	CON__ENSEMBL:ENSBTAP00000034412	2	2	2		1	2	2	2	12.6	12.6	12.6	22.336	199	199	0	12.374	593110	2			+	1	743;2428	True;True	751;2479	916;3032	1687;5766	1687;5766		
CON__P00761	CON__P00761	2	2	2		1	2	2	2	7.8	7.8	7.8	24.409	231	231	0	12.329	122290000	5			+	2	2297;3752	True;True	2328;3823	2840;4717	5431;9002;9003;9004;9005	5431;9003		
CON__P00978	CON__P00978	1	1	1		1	1	1	1	4.3	4.3	4.3	39.234	352	352	0	7.9523	373530	1			+	3	3695	True	3766	4648	8887	8887		
CON__P01045-1;CON__Q2KJ62;CON__P01044-1	CON__P01045-1;CON__Q2KJ62;CON__P01044-1	1;1;1	1;1;1	1;1;1	;;	3	1	1	1	1.9	1.9	1.9	68.709	619	619;621;621	0	6.7918	1065000	2			+	4	2162	True	2189	2688	5177;5178	5177		
CON__P01966	CON__P01966	2	2	2		1	2	2	2	16.9	16.9	16.9	15.184	142	142	0	14.704	2118600	5			+	5	2375;3825	True;True	2416;3896	2948;4797	5624;9142;9143;9144;9145	5624;9143		
CON__P02533;CON__Q04695;CON__Q9QWL7;CON__A2A4G1;CON__P08727;CON__P19001;CON__P19012;CON__Q6IFX2;CON__Q9Z2K1;CON__Q3ZAW8	CON__P02533	11;5;5;5;4;4;4;3;3;3	7;2;2;1;1;1;1;2;1;1	3;1;1;0;0;0;0;1;0;0		10	11	7	3	22.9	17.6	7.8	51.621	472	472;432;433;456;400;403;456;452;469;474	0	52.756	10150000	13			+	6	344;397;560;1209;1607;1931;2042;2070;2071;3863;3999	True;True;True;True;True;True;False;False;False;True;False	348;402;565;1225;1627;1956;2069;2097;2098;3934;4070;4071	416;483;669;1518;2005;2402;2546;2583;2584;4846;5002;5003	749;750;751;875;1238;2933;2934;3847;3848;4644;4645;4927;4928;4986;4987;4988;9252;9253;9535;9536;9537;9538;9539	749;875;1238;2934;3848;4645;4928;4986;4988;9253;9538	2	119
CON__P02538;CON__P48668;CON__P04259;CON__O95678;CON__P12035	CON__P02538;CON__P48668;CON__P04259	11;10;9;4;3	6;5;4;1;1	4;3;2;0;0	;;	5	11	6	4	21.6	13.7	9.9	60.044	564	564;564;564;551;629	0	44.777	4218400	7			+	7	114;228;376;1248;1923;2057;2185;3076;3334;4072;4084	True;True;False;False;True;False;False;True;True;False;True	117;231;380;1265;1948;2084;2214;3136;3398;4144;4157	148;281;456;1563;2394;2568;2717;3844;4181;5094;5112	276;277;526;824;3015;3016;4631;4960;5226;5227;7285;7917;9699;9700;9732	276;526;824;3015;4631;4960;5227;7285;7917;9700;9732		
CON__P02768-1	CON__P02768-1	7	3	3		1	7	3	3	9.2	4.4	4.4	69.366	609	609	0	18.411	3432400	3			+	8	140;1301;2039;2322;2344;3933;4108	True;True;False;True;False;False;False	143;1319;2066;2354;2376;4004;4181	179;1628;2539;2540;2541;2542;2543;2876;2904;4924;5149	337;3116;4912;4913;4914;4915;4916;4917;4918;4919;4920;4921;4922;4923;4924;5507;5553;9387;9814	337;3116;4918;5507;5553;9387;9814		
CON__P02769	CON__P02769	13	13	9		1	13	13	9	22.6	22.6	17.8	69.293	607	607	0	106.65	82075000	28			+	9	142;487;1238;2039;2135;2172;2339;2344;2918;3703;3933;4108;4111	True;True;True;True;True;True;True;True;True;True;True;True;True	145;492;1255;2066;2162;2201;2371;2376;2974;3774;4004;4181;4184	181;586;1553;2539;2540;2541;2542;2543;2659;2703;2897;2904;3646;4657;4924;5149;5152	339;1061;1062;3001;3002;4912;4913;4914;4915;4916;4917;4918;4919;4920;4921;4922;4923;4924;5131;5209;5543;5553;6885;8899;9387;9814;9817;9818	339;1062;3001;4918;5131;5209;5543;5553;6885;8899;9387;9814;9818		
CON__P04264	CON__P04264	23	23	17		1	23	23	17	45.8	45.8	36.2	66.017	644	644	0	277.63	253630000	83			+	10	120;788;805;1283;1469;1790;2056;2095;2219;2420;2539;2823;3081;3115;3120;3121;3135;3146;3524;3540;3541;4062;4082	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	123;796;813;1301;1488;1813;2083;2122;2249;2470;2591;2592;2879;3141;3175;3180;3181;3197;3208;3590;3607;3608;4134;4155	154;975;976;995;1607;1608;1837;1838;2232;2563;2564;2565;2566;2567;2616;2617;2753;3019;3020;3021;3171;3172;3173;3533;3534;3850;3894;3899;3900;3901;3902;3903;3933;3945;4424;4445;4446;5083;5084;5109;5110	287;288;1809;1810;1811;1843;3085;3086;3087;3088;3535;3536;3537;3538;3539;3540;4319;4955;4956;4957;4958;4959;5055;5056;5057;5058;5059;5060;5278;5279;5280;5744;5745;5746;5747;5748;6023;6024;6025;6026;6682;6683;6684;7298;7299;7300;7394;7395;7396;7402;7403;7404;7405;7406;7407;7408;7409;7410;7456;7457;7458;7472;7473;8410;8411;8412;8459;8460;8461;8462;8463;9679;9680;9681;9682;9722;9723;9724;9725;9726;9727;9728;9729	287;1810;1843;3085;3538;4319;4955;5055;5278;5745;6026;6683;7299;7395;7404;7410;7457;7473;8412;8460;8462;9681;9723	3	262
CON__P08779	CON__P08779	9	1	1		1	9	1	1	19	4	4	51.267	473	473	0	10.911	756450	1			+	11	397;1607;1816;1931;2042;2070;2071;3863;3999	False;False;True;False;False;False;False;False;False	402;1627;1840;1956;2069;2097;2098;3934;4070;4071	483;2005;2266;2402;2546;2583;2584;4846;5002;5003	875;3847;3848;4373;4644;4645;4927;4928;4986;4987;4988;9252;9253;9535;9536;9537;9538;9539	875;3848;4373;4645;4928;4986;4988;9253;9538	2	121
CON__P12763	CON__P12763	8	8	8		1	8	8	8	27.9	27.9	27.9	38.418	359	359	0	68.1	28301000	18			+	12	262;357;491;492;518;1071;2748;3575	True;True;True;True;True;True;True;True	266;361;496;497;523;1085;2804;3642	324;325;431;590;591;622;1342;1343;3436;3437;4495	588;589;776;1067;1068;1134;2598;2599;2600;2601;2602;2603;6492;6493;6494;6495;8586;8587	588;776;1067;1068;1134;2603;6495;8586		
CON__P13645;CON__P02535-1;CON__P08730-1;CON__ENSEMBL:ENSP00000377550;CON__P05784;CON__P13646-1;CON__Q148H6;CON__Q7Z3Y7;CON__Q99456;CON__Q2M2I5;CON__Q14525;CON__Q9UE12;CON__Q15323;CON__A2A5Y0;CON__Q92764;CON__Q14532;CON__Q7Z3Z0;CON__A2AB72;CON__Q497I4;CON__O76015;CON__Q7Z3Y8;CON__O76013;CON__Q7Z3Y9;CON__O76014;CON__REFSEQ:XP_986630	CON__P13645	24;8;5;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	23;8;4;3;1;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	20;6;2;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0		25	24	23	20	49.7	49.7	45.5	59.51	593	593;570;437;420;423;458;464;486;494;525;404;416;416;416;425;448;450;453;455;456;459;467;468;471;476	0	313.17	149340000	85			+	13	161;254;1047;1633;1641;2042;2070;2071;2115;2176;2560;2644;2647;2908;2916;2917;3038;3133;3223;3224;3248;3999;4080;4086	True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	164;258;1060;1653;1661;2069;2097;2098;2142;2205;2614;2699;2702;2703;2964;2972;2973;3098;3195;3286;3287;3311;4070;4071;4153;4159	203;204;314;1303;1304;1305;2037;2046;2047;2546;2583;2584;2638;2707;2708;3202;3203;3204;3311;3312;3315;3316;3317;3633;3634;3643;3644;3645;3793;3794;3931;4045;4046;4047;4048;4074;5002;5003;5103;5104;5105;5106;5107;5114	377;378;379;380;381;382;383;384;571;572;573;574;2502;2503;2504;2505;2506;2507;3924;3925;3926;3938;3939;3940;3941;3942;3943;4927;4928;4986;4987;4988;5098;5099;5213;5214;5215;6082;6083;6084;6278;6279;6283;6284;6285;6286;6287;6856;6857;6858;6859;6860;6861;6879;6880;6881;6882;6883;6884;7178;7179;7453;7454;7661;7662;7663;7664;7665;7666;7667;7714;7715;9535;9536;9537;9538;9539;9713;9714;9715;9716;9717;9718;9719;9720;9735	379;572;2502;3925;3941;4928;4986;4988;5099;5214;6082;6279;6284;6857;6879;6882;7179;7454;7661;7663;7714;9538;9720;9735	2;4;5	150;306;321
CON__P13647	CON__P13647	13	10	4		1	13	10	4	22.5	18.1	7.6	62.378	590	590	0	78.116	17845000	16			+	14	375;1248;1924;2052;2057;2185;3147;3409;3656;3760;3976;4072;4083	True;False;True;True;False;False;True;True;True;True;True;True;True	379;1265;1949;2079;2084;2214;3209;3474;3727;3831;4047;4144;4156	455;1563;2395;2559;2568;2717;3946;4278;4598;4725;4976;5094;5111	823;3015;3016;4632;4633;4948;4949;4960;5226;5227;7474;8113;8114;8115;8798;9015;9478;9699;9700;9730;9731	823;3015;4633;4948;4960;5227;7474;8115;8798;9015;9478;9700;9730		
CON__P15497	CON__P15497	5	5	5		1	5	5	5	23.8	23.8	23.8	30.276	265	265	0	62.951	13085000	6			+	15	807;1097;2179;2293;2882	True;True;True;True;True	815;1111;2208;2324;2938	997;1374;2711;2836;3601	1845;1846;2667;5218;5426;6802	1845;2667;5218;5426;6802		
CON__P17697	CON__P17697	3	3	3		1	3	3	3	10	10	10	51.113	439	439	0	114.08	5325600	6			+	16	405;534;2350	True;True;True	410;539;2382	492;639;640;2911	888;1185;1186;1187;1188;5563	888;1187;5563		
CON__P34955	CON__P34955	7	7	7		1	7	7	7	15.9	15.9	15.9	46.103	416	416	0	47.286	6388800	11			+	17	59;1892;2227;2327;3172;3317;4076	True;True;True;True;True;True;True	60;1916;2257;2359;3235;3381;4148	78;2356;2762;2881;3977;4162;5098	151;4545;4546;5293;5515;5516;7530;7531;7891;9706;9707	151;4545;5293;5516;7530;7891;9707		
