Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
TM35_000012380	TM35_000012380-t36_1	T. theileri isolate Edinburgh	NBCO01000001:370,282..371,136(-)	hypothetical protein	protein coding	Tth.1.2380	
TM35_000023720	TM35_000023720-t36_1	T. theileri isolate Edinburgh	NBCO01000002:738,536..739,243(+)	hypothetical protein	protein coding	Tth.2.3720	
TM35_000023730	TM35_000023730-t36_1	T. theileri isolate Edinburgh	NBCO01000002:744,438..745,274(+)	hypothetical protein	protein coding	Tth.2.3730	
TM35_000023740	TM35_000023740-t36_1	T. theileri isolate Edinburgh	NBCO01000002:745,978..746,685(+)	hypothetical protein	protein coding	Tth.2.3740	
TM35_000023750	TM35_000023750-t36_1	T. theileri isolate Edinburgh	NBCO01000002:752,201..752,917(+)	hypothetical protein	protein coding	Tth.2.3750	
TM35_000023760	TM35_000023760-t36_1	T. theileri isolate Edinburgh	NBCO01000002:755,219..755,956(+)	hypothetical protein	protein coding	Tth.2.3760	
TM35_000023770	TM35_000023770-t36_1	T. theileri isolate Edinburgh	NBCO01000002:759,212..759,496(+)	hypothetical protein	protein coding	Tth.2.3770	
TM35_000023780	TM35_000023780-t36_1	T. theileri isolate Edinburgh	NBCO01000002:764,695..765,456(+)	hypothetical protein	protein coding	Tth.2.3780	
TM35_000023790	TM35_000023790-t36_1	T. theileri isolate Edinburgh	NBCO01000002:766,070..767,026(+)	hypothetical protein	protein coding	Tth.2.3790	
TM35_000023810	TM35_000023810-t36_1	T. theileri isolate Edinburgh	NBCO01000002:772,583..773,413(+)	hypothetical protein	protein coding	Tth.2.3810	
TM35_000023820	TM35_000023820-t36_1	T. theileri isolate Edinburgh	NBCO01000002:774,105..774,974(+)	hypothetical protein	protein coding	Tth.2.3820	
TM35_000023830	TM35_000023830-t36_1	T. theileri isolate Edinburgh	NBCO01000002:780,187..780,741(+)	hypothetical protein	protein coding	Tth.2.3830	
TM35_000023840	TM35_000023840-t36_1	T. theileri isolate Edinburgh	NBCO01000002:782,085..782,957(+)	hypothetical protein	protein coding	Tth.2.3840	
TM35_000081440	TM35_000081440-t36_1	T. theileri isolate Edinburgh	NBCO01000008:117,554..118,366(+)	hypothetical protein	protein coding	Tth.8.1440	
TM35_000081450	TM35_000081450-t36_1	T. theileri isolate Edinburgh	NBCO01000008:119,566..120,204(+)	hypothetical protein	protein coding	Tth.8.1450	
TM35_000081460	TM35_000081460-t36_1	T. theileri isolate Edinburgh	NBCO01000008:121,094..121,675(+)	hypothetical protein	protein coding	Tth.8.1460	
TM35_000081470	TM35_000081470-t36_1	T. theileri isolate Edinburgh	NBCO01000008:122,104..122,847(+)	hypothetical protein	protein coding	Tth.8.1470	
TM35_000081480	TM35_000081480-t36_1	T. theileri isolate Edinburgh	NBCO01000008:123,532..124,776(+)	hypothetical protein	protein coding	Tth.8.1480	
