Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
TM35_000016370	TM35_000016370-t36_1	T. theileri isolate Edinburgh	NBCO01000001:1,371,038..1,371,598(-)	hypothetical protein	protein coding	Tth.1.6370	
TM35_000031560	TM35_000031560-t36_1	T. theileri isolate Edinburgh	NBCO01000003:135,615..136,553(-)	hypothetical protein	protein coding	Tth.3.1560	
TM35_000031570	TM35_000031570-t36_1	T. theileri isolate Edinburgh	NBCO01000003:137,141..138,034(-)	hypothetical protein	protein coding	Tth.3.1570	
TM35_000031590	TM35_000031590-t36_1	T. theileri isolate Edinburgh	NBCO01000003:141,946..142,752(-)	hypothetical protein	protein coding	Tth.3.1590	
TM35_000031620	TM35_000031620-t36_1	T. theileri isolate Edinburgh	NBCO01000003:147,177..147,977(-)	hypothetical protein	protein coding	Tth.3.1620	
TM35_000031640	TM35_000031640-t36_1	T. theileri isolate Edinburgh	NBCO01000003:150,741..151,526(-)	hypothetical protein	protein coding	Tth.3.1640	
TM35_000031720	TM35_000031720-t36_1	T. theileri isolate Edinburgh	NBCO01000003:166,622..167,365(-)	hypothetical protein	protein coding	Tth.3.1720	
TM35_000031740	TM35_000031740-t36_1	T. theileri isolate Edinburgh	NBCO01000003:170,201..171,481(-)	hypothetical protein	protein coding	Tth.3.1740	
TM35_000031760	TM35_000031760-t36_1	T. theileri isolate Edinburgh	NBCO01000003:174,519..175,070(-)	hypothetical protein	protein coding	Tth.3.1760	
TM35_000084300	TM35_000084300-t36_1	T. theileri isolate Edinburgh	NBCO01000008:806,022..806,495(-)	hypothetical protein	protein coding	Tth.8.4300	
TM35_000084330	TM35_000084330-t36_1	T. theileri isolate Edinburgh	NBCO01000008:810,479..811,312(-)	hypothetical protein	protein coding	Tth.8.4330	
TM35_000084350	TM35_000084350-t36_1	T. theileri isolate Edinburgh	NBCO01000008:815,383..816,390(-)	hypothetical protein	protein coding	Tth.8.4350	
TM35_000084390	TM35_000084390-t36_1	T. theileri isolate Edinburgh	NBCO01000008:822,382..823,518(-)	hypothetical protein	protein coding	Tth.8.4390	
TM35_000084410	TM35_000084410-t36_1	T. theileri isolate Edinburgh	NBCO01000008:827,368..828,336(-)	hypothetical protein	protein coding	Tth.8.4410	
TM35_000084430	TM35_000084430-t36_1	T. theileri isolate Edinburgh	NBCO01000008:830,268..831,233(-)	hypothetical protein	protein coding	Tth.8.4430	
TM35_000102920	TM35_000102920-t36_1	T. theileri isolate Edinburgh	NBCO01000010:561,768..562,865(+)	hypothetical protein	protein coding	Tth.10.2920	
TM35_000103000	TM35_000103000-t36_1	T. theileri isolate Edinburgh	NBCO01000010:581,865..582,722(+)	hypothetical protein	protein coding	Tth.10.3000	
TM35_000103030	TM35_000103030-t36_1	T. theileri isolate Edinburgh	NBCO01000010:588,452..588,844(+)	hypothetical protein	protein coding	Tth.10.3030	
TM35_000103040	TM35_000103040-t36_1	T. theileri isolate Edinburgh	NBCO01000010:593,005..594,048(+)	putative titin	protein coding	Tth.10.3040	
TM35_000103070	TM35_000103070-t36_1	T. theileri isolate Edinburgh	NBCO01000010:600,145..601,029(+)	hypothetical protein	protein coding	Tth.10.3070	
TM35_000103090	TM35_000103090-t36_1	T. theileri isolate Edinburgh	NBCO01000010:603,621..604,748(+)	hypothetical protein	protein coding	Tth.10.3090	
TM35_000103120	TM35_000103120-t36_1	T. theileri isolate Edinburgh	NBCO01000010:609,272..609,913(+)	hypothetical protein	protein coding	Tth.10.3120	
TM35_000112080	TM35_000112080-t36_1	T. theileri isolate Edinburgh	NBCO01000011:255,802..256,410(-)	hypothetical protein	protein coding	Tth.11.2080	
TM35_000112090	TM35_000112090-t36_1	T. theileri isolate Edinburgh	NBCO01000011:260,987..261,526(-)	hypothetical protein	protein coding	Tth.11.2090	
TM35_000112980	TM35_000112980-t36_1	T. theileri isolate Edinburgh	NBCO01000011:455,793..456,392(+)	hypothetical protein	protein coding	Tth.11.2980	
TM35_000113010	TM35_000113010-t36_1	T. theileri isolate Edinburgh	NBCO01000011:460,584..461,603(+)	hypothetical protein	protein coding	Tth.11.3010	
TM35_000151030	TM35_000151030-t36_1	T. theileri isolate Edinburgh	NBCO01000015:5,046..5,498(+)	hypothetical protein	protein coding	Tth.15.1030	
TM35_000151040	TM35_000151040-t36_1	T. theileri isolate Edinburgh	NBCO01000015:7,032..7,922(+)	putative titin	protein coding	Tth.15.1040	
TM35_000151050	TM35_000151050-t36_1	T. theileri isolate Edinburgh	NBCO01000015:8,720..10,000(+)	hypothetical protein	protein coding	Tth.15.1050	
